Formal + pure 	Informal + Impure	Formal + Impure	Informal + pure
ಬೆಣ್ಣೆ ಹಣ್ಣು ಅವರಿಗೆ ತುಂಬಾ ಇಷ್ಟವಾಗಿದೆ.	ಅವನಿಗೆ ಆವೊಕಾಡೊ ಹಣ್ಣು ಇಷ್ಟವಿದೆ.	ಅವರಿಗೆ ಆವೊಕಾಡೊ ಹಣ್ಣು ಇಷ್ಟವಿದೆ	ಬೆಣ್ಣೆ ಹಣ್ಣು ಅವನಿಗೆ ತುಂಬಾ ಇಷ್ಟವಾಗಿದೆ.
ಅವರು ಸಪೋಟ ಹಣ್ಣನು ಬಿಸಾಕಿದರು 	ಅವನು ಚಿಕ್ಕೂ ಹಣ್ಣನ್ನು ಬಿಸಾಕಿದ.	ಅವರು ಚಿಕ್ಕೂ ಹಣ್ಣನ್ನು ಬಿಸಾಕಿದರು.	ಅವನು  ಸಪೋಟ ಹಣ್ಣನು ಬಿಸಾಕಿದರು 
ಗಣಕಯಂತ್ರವನ್ನು ಹೊರಗಡೆ ಇಟ್ಟೆವು	ಕಂಪ್ಯೂಟರ್ ಅನ್ನು ವೊಗಯಿಸಿದೆ.	ಕಂಪ್ಯೂಟರ್ ಅನ್ನು ಹೊರಗೇ ಹಾಕಿದೆವು	ಗಣಕಯಂತ್ರವನ್ನು ಒಗಾಯಿಸಿದೆ.
ನಮಸ್ತೆ ಏನು ಸಮಾಚಾರ 	ಯೇನ್ ಗುರು ಯೇನ್ ಮ್ಯಾಟರ್ ನಿಂದು?	ನಮಸ್ತೆ ಏನು ಮ್ಯಾಟರ್ ನಿಮ್ಮದು 	ಏನ್ ಸಮಾಚಾರ ಮಗ ನಿಂದು 
ನಮಸ್ಕಾರ ನಿಮ್ಮ ಹೆಸೆರೇನು ?	ಏನೋ, ನಿನ್ ನೇಮ್ ಏನು?	ನಮಸ್ತೆ ನಿನ್ನ ನೇಮ್ ಏನು?	ಏನೋ, ನಿನ್ ಹೆಸೆರೇನು ?
ನೋಡಿ, ನೀವು ಅವನಿಗೆ ಮತ ಹಾಕಿ 	ಮಚ್ಚಾ, ವೋಟ್ ಅವನಿಗೆ ಹಾಕು ನೀನು.	ನೋಡಿ, ನೀವು ಅವನಿಗೆ ವೋಟ್ ಹಾಕಿ 	ಮಚ ನೀನು ಅವನಿಗೆ ಮತ ಹಾಕು. 
ನೋಡಿ, ನನಗೆ ತುಂಬಾ ಕೆಲಸವಿದೆ 	ಲೋ! ಸಿಕ್ಕಪಟ್ಟೆ ವರ್ಕ್ ಇದೆ ನನಗೆ.	ನೋಡಿ ನನಗೆ ಸಿಕ್ಕಾಪಟೆ ವರ್ಕ್ ಇದೆ.	ಲೋ! ಸಿಕ್ಕಪ್ಪಟೆ ಕೆಲಸ ಇದೆ ನನಗೆ 
ಆ ಹುಡುಗಿ ತುಂಬಾ ಅಂದವಿದ್ದಾಳೆ 	ಆ ಲೇಡಿ ಸಿಕ್ಕಪಟ್ಟೆ ಸೆಕ್ಸಿ ಇದ್ದಾಳೆ.	ಆ ಲೇಡಿ ತುಂಬಾ ಅಂದವಿದ್ದಾಳೆ	ಆ ಹುಡುಗಿ ಸಿಕ್ಕಾಪಟೆ ಸಕ್ಕತಾಗಿ ಇದ್ದಾಳೆ 
ಅವರು ಶೌಚಾಲಯಕ್ಕೆ ಹೋಗಿದ್ದಾರೆ 	ಅವನು ಟಾಯ್ಲೆಟ್ ಗೆ ಹೋಗಿದ್ದಾನೆ.	ಅವರು ಟಾಯ್ಲೆಟ್ಗೆ ಹೋಗಿದ್ದಾರೆ 	ಅವನು ಶೌಚಾಲಯಕ್ಕೆ ಹೋಗಿದ್ದಾನೆ 
ಆ ಹುಡುಗ ಚೆನ್ನಾಗಿ  ಚಿನ್ನಿ ದಾಂಡು ಆಡುತ್ತಾನೆ 	ಆ ಹುಡುಗ ಸಕ್ಕಾತ್ತಾಗಿ ಕ್ರಿಕೆಟ್ ಆಡುತ್ತಾನೆ	ಆ ಹುಡುಗ ಚೆನ್ನಾಗಿ ಕ್ರಿಕೆಟ್ ಆಡುತ್ತಾನೆ 	ಆ ಹುಡುಗ ಸಕ್ಕತಾಗಿ ಚಿನ್ನಿ ದಾಂಡು ಆಡುತ್ತಾನೆ 
ಜಾಸ್ತಿ ಗಣಕಯಂತ್ರ ಉಪಯೋಗ ಮಾಡಬೇಡಿ	ಜಾಸ್ತಿ ಫೋನ್ ಉಪಯೋಗ ಮಾಡಬೇಡ	ಜಾಸ್ತಿ ಫೋನ್ ಉಪಯೋಗ ಮಾಡಬೇಡಿ 	ಜಾಸ್ತಿ ಗಣಕಯಂತ್ರ ಉಪಯೋಗ ಮಾಡಬೇಡ 
ದೂರದರ್ಶನವನ್ನು ತೆಗೆದುಕೊಂಡು ಹೋಗಿ 	ಟಿವಿನ ತಗೊಂಡು ಹೋಗು	ಟಿವಿನ ತೆಗೆದುಕೊಂಡು  ಹೋಗಿ 	ದೂರದರ್ಶನವನ್ನು ತೆಗೆದುಕೊಂಡು ಹೋಗು 
ಹೊರಗೆ ಹೋಗಲು ಬನ್ನಿ 	ಔಟ್‌ಸೈಡ್ ಹೋಗಲು ಬಾ	ಔಟ್ಸೈಡ್ ಹೋಗಲು ಬನ್ನಿ 	ಹೊರಗೆ ಹೋಗಲು ಬಾ 
ಚಕ್ರ ತೆಗೆದುಕೊಂಡು  ಹೊರಗಡೆ ಹೋದರು 	ವೀಲ್ ತಗೊಂಡು ಹೊರಟು ಹೋದ ಅವನು	ವೀಲ್ ತಗೊಂಡು ಹೊರಟು ಹೋದರು ಅವರು 	ಚಕ್ರ ತಗೊಂಡು ಹೊರಗಡೆ ಹೋದ ಅವನು 
