Impure	Pure	
অনেকে ব্যাংকিং, কেনাকাটা, সামাজিক যোগাযোগমাধ্যম এবং ই-মেইলের জন্য একই পাসওয়ার্ড ব্যবহার করেন।	অনেকে ব্যাংকিং, ক্রয়, সামাজিক যোগাযোগ মাধ্যম এবং ই-মেইলের জন্য একই পাসওয়ার্ড ব্যবহার করিয়া থাকেন।  	
অ্যাপল কখনো ব্লু-রে ড্রাইভ বা প্লেব্যাক ফরম্যাটের প্রস্তাব দেয়নি।	অ্যাপল কখনো ব্লু-রে ড্রাইভ বা প্লেব্যাক ফরম্যাট করিবার প্রস্তাব দেয়নি।	
আপনি কি ঘন্টা টাওয়ার শুনেছেন?	আপনি কি ঘণ্টা টাওয়ার শুনিয়াছেন? 	
আপনি যদি মাদকাসক্ত হয়ে থাকেন, তাহলে জানেন যে আপনি একা নন।	আপনি যদি মাদকাসক্ত হইয়া থাকেন, তাহলে জানিবেন যে আপনি একা নন। 	
আমি এটাকে স্যাক্সন আর্কিটেকচার বলি।	আমি ইহাকে স্যাক্সন আর্কিটেকচার বলিয়া থাকি। 	
আমি তাদের কি বলবো?	আমি তাহাদের কি বলিবো? 	
আমি ভাবছি তুমি কি এর মানে বুঝতে পারছো?	আমি ভাবছি তুমি কি এর অর্থ বুঝিতে পারিয়াছো? 	
আমি মনে মনে খুব খুশি হলাম, রক্তপাতহীনভাবে সবাই আত্মসমর্পণ করছে ভেবে।	আমি মনে মনে খুব পুলকিত হইলাম, রক্তপাতহীনভাবে সবাই আত্মসমর্পন করিয়াছে ভাবিয়া। 	
উদাহরণের তুলনা করে এই পার্থক্য বোঝা যেতে পারে।	উদাহরণের তুলনা করিয়া এই পার্থক্য বুঝা যাইতে পারে। 	
এই অনুষ্ঠানে কয়েক ডজন লোক ডেপুটি প্রসিকিউটর হিসেবে শপথ গ্রহণ করে।	উক্ত অনুষ্ঠানে কয়েক ডজন ব্যক্তি ডেপুটি প্রসিকিউটর হিসেবে শপথ গ্রহণ করিয়াছে।	
এই আক্রমণের ফলে আর্নুলফ হাঙ্গেরিতে তার প্রাক্তন শত্রুদের কাছে নির্বাসিত হন।	উক্ত আক্রমণের ফলে আর্নুলফ হাঙ্গেরিতে তার প্রাক্তন শত্রুদের নিকট নির্বাসিত হইয়া পড়েন। 	
এই সুড়ঙ্গগুলির কয়েকটি এখনও দেখা যায়।	উক্ত সুড়ঙ্গগুলির কয়েকটি এখনও দেখিতে পাওয়া যায়। 	
একজন মহিলাকে গুলি করে হত্যা করা হয়।	একজন মহিলাকে গুলি করিয়া হত্যা করা হইয়াছে। 	
এখান থেকে গ্র্যাজুয়েটরা মাছ ধরার জাহাজের মাস্টার হবে।	এখান থেকে স্নাতকরা মাছ ধরার জাহাজের নাবিক হইয়া উঠিবে। 	
এছাড়া তিনি টেনেসি উইলিয়ামসের "বেবি ডল" মঞ্চনাটকের অফ-ব্রডওয়ে প্রিমিয়ারে অভিনয় করেন।	এছাড়া তিনি টেনেসি উইলিয়ামসের "বেবি ডল" মঞ্চনাটকের অফ-ব্রডওয়ে প্রিমিয়ারে অভিনয় করিয়াছিলেন। 	
এছাড়া, তারা নিয়মিতভাবে বাকমিনস্টার ফুলার ও তার স্ত্রীর সঙ্গে দীর্ঘ ব্রেকফাস্ট করত।	এছাড়া, তাহারা নিয়মিতভাবে বাকমিন্সটার ফুলার ও তার স্ত্রীর সঙ্গে দীর্ঘ নাস্তা করিয়া থাকতেন। 	
এরা সাধারণ, সুনিষ্কাশিত মাটি পছন্দ করে, কিন্তু মরুভূমির পাথুরে মাটিতেও সমানভাবে জন্মায়।	ইহারা সাধারণ, সুনিষ্কাশিত মাটি পছন্দ করিয়া থাকে, কিন্তু মরুভূমির পাথুরে মাটিতেও সমানভাবে জন্মাইয়া থাকে। 	
ওভারহল একটি নতুন ফ্লাইট ডেক, স্টিয়ারিং সিস্টেম এবং সেতু স্থাপন অন্তর্ভুক্ত।	ওভারহল একটি নতুন ফ্লাইট ডেক, স্টিয়ারিং সিস্টেম এবং সেতু স্থাপন অন্তর্ভুক্ত।	
ওয়াচ স্টেশনটি একটি কাঠের ভবনে অবস্থিত।	ওয়াচ স্টেশনটি একটি কাঠের ভবনে অবস্থিত।	
কার্ড এবং চিঠিগুলি এখনও কোনো ডাকটিকিট ছাড়াই ব্যারেলে রাখা হয়।	কার্ড এবং চিঠিগুলি এখনও কোনো ডাকটিকিট ছাড়াই ব্যারেলে রাখা হইয়া থাকে।	
কিছু মৌলিক গানের সুরও তিনি রচনা করেন।	কিছু মৌলিক গানের সুরও তিনি রচনা করিয়াছেন।	
কিছু সংখ্যক কর্মচারী যুদ্ধের কাজে যোগ দেওয়ার জন্য সাময়িকভাবে চলে যায়।	কিছু সংখ্যক কর্মচারী যুদ্ধের কাজে যোগ দেওয়ার জন্য সাময়িকভাবে চলিয়া যায়। 	
কিন্তু, তার দুর্বল কৃষকরা অভিজাতদের ভারী অশ্বারোহীদের কাছে পরাজিত হয়েছিল।	কিন্তু, তার দুর্বল কৃষকরা অভিজাতদের ভারী অশ্বারোহীদের কাছে পরাজিত হইয়াছিল। 	
কে বলছেন এখন ভর্তি পরীক্ষার আবেদন করতে হবে অনলাইনে?	কে বলিয়াছেন এখন ভর্তি পরীক্ষার আবেদন করিতে হবে অনলাইনে?	
গিলিস মরিয়া হয়ে চায় যেন অন্যেরা কথা বলা বন্ধ করে দেয়।	গিলিস মরিয়া হইয়া চায় যেন অন্যেরা কথা বলা বন্ধ করিয়া দেয়।	
ঘর পরিষ্কারের একটি গুরুত্বপূর্ণ দিক হচ্ছে আবর্জনা ফেলা।	ঘর পরিষ্কারের একটি গুরুত্বপূর্ণ দিক হইতেছে আবর্জনা ফেলিয়া আসা।	
জনাব হোসেনী, আপনার বাড়ির জন্য আমি দুঃখিত।	জনাব হোসেনী, আপনার বাড়ির জন্য আমি দুঃখিত।	
জার্মান বিপ্লবের পর এটি একটি প্রজাতন্ত্রে পরিণত হয়।	জার্মান বিপ্লবের পর এটি একটি প্রজাতন্ত্রে পরিণত হয়।	
তখন চাকরিপ্রাপ্ত ব্যক্তিদের পাশাপাশি চাকরিপ্রত্যাশীরাও বিশ্ববিদ্যালয়ের প্রশাসন ভবনে ভিড় করতে থাকেন।	তখন চাকরিপ্রাপ্ত ব্যক্তিদের পাশাপাশি চাকরিপ্রত্যাশীরাও বিশ্ববিদ্যালয়ের প্রশাসন ভবনে ভিড় করিতে থাকেন।	
তবে, তার অবস্থানের জন্য নির্মিত সুড়ঙ্গটি এখনও খালি রয়েছে।	তবে, তাহার অবস্থানের জন্য নির্মিত সুড়ঙ্গটি এখনও খালি রইয়াছে।	
তাকে অ্যালিসের সাথে এক বছরের সফরে নিয়ে যাওয়া হয়।	তাহাকে অ্যালিসের সাথে এক বছরের সফরে লইয়া যাওয়া হয়।	
তাদের পোস্ট অফিস বন্ধ।	তাহাদের পোস্ট অফিস বন্ধ।	
তার আগের বিয়ে থেকে তার একটি সন্তান রয়েছে।	তাহার আগের বিয়ে থেকে তার একটি সন্তান রইয়াছে।	
তাঁর পিতা ছিলেন সার্জন মেজর মরিস জোন্স।	তাঁহার পিতা ছিলেন সার্জন মেজর মরিস জোন্স।	
তারা আবেদনটি মঞ্জুর করে এবং নির্বাচন বাতিল ঘোষণা করে।	তাহারা আবেদনটি মঞ্জুর করিয়াছেন এবং নির্বাচন বাতিল ঘোষণা করিয়াছেন।	
তারা তিনজন একসাথে প্রিন্সটনে উপস্থিত ছিলেন।	তাহারা তিনজন একসাথে প্রিন্সটনে উপস্থিত ছিলেন।	
