Pure 	Impure
मैं अखबार पढ रहा हूँ | 	मैं न्यूज़पेपर पढ रहा हूँ | 
शुभ प्रभात ! आप कैसे हो ?	गुड मॉर्निंग ! आप कैसे हो ?
धन्यवाद ! यह उपकार मैं कभी नहीं भूलूंगी | 	थैंक यू  ! यह उपकार मैं कभी नहीं भूलूंगी | 
आज का नास्ता बहुत ही स्वादिष्ट था |	आज का ब्रेकफास्ट बहुत ही स्वादिष्ट था |
मैं आज भोजन में क्या बनाऊ ?	मैं आज लंच में क्या बनाऊ ?
आज विद्यालय जाते समय मैंने एक बहुत ही भयानक अकस्मात देखा | 	आज स्कूल जाते समय मैंने एक बहुत ही भयानक एक्सीडेंट देखा | 
नमस्कार | में आप सभी का हार्दिक स्वागत करता हूँ और आशा करता हूँ की आपको आने में कोई परेशानी नहीं हुई | 	हेल्लो  | में आप सभी का हार्दिक स्वागत करता हूँ और आशा करता हूँ की आपको आने में कोई परेशानी नहीं हुई | 
मुंबई और बैंगलोर जैसे बड़े शहरों में बहुत ज्यादा यातायात होता है।	मुंबई और बैंगलोर जैसे बड़े शहरों में बहुत ज्यादा ट्र्रैफिक  होता है।
माफ़ कीजिए, मैं आपको ठीक से समझ नहीं पाया था।	सॉरी , मैं आपको ठीक से समझ नहीं पाया था।
मेरे पिताजी कार्यालय में एक महत्वपूर्ण पद पर काम करते हैं।	मेरे डैडी ऑफ़िस में एक इम्पोर्टेंट पोज़ीशन पर काम करते हैं।
छात्रों ने विद्यालय में नाटक में अभिनय किया और सबको बहुत हसाया।	छात्रों ने स्कूल में नाटक में एक्टिंग की और सबको बहुत हसाया।
मेरे मित्र के पापा की गांधीनगर में किराने की चार दुकान है | 	मेरे फ्रेंड के पापा के गांधीनगर में चार ग्रोसरी स्टोर है |  
अभी रसोईघर के पुनर्निर्माण का काम चल रहा हैं | 	अभी किचन के रेनोवेशन का काम चल रहा हैं | 
मेरे सभी मित्रो के माता-पिता का खुद का कारोबार हैं | 	मेरे सभी फ्रेंड्स के पेरेंट्स का खुद का बिज़नेस हैं | 
मैंने अभी तक नौकरी के लिए १० आवेदन किये है, परंतु किसि का भी उत्तर नहीं आया हैं | 	मैंने अभी तक १० जॉब ऍप्लिकेशन्स किये है, परंतु किसि का भी रिप्लाई नहीं आया हैं | 
डाकघर में बहुत लम्बी कतार थी आज | 	पोस्ट ऑफिस में बहुत लम्बी लाइन थी आज | 
आज शाम मैं चलने के लिए गई थी और मैंने उद्यान में पांच मोर देखे | 	आज शाम मैं वॉक पर गई थी और मैंने गार्डन में पांच मोर देखे | 
गर्मियों के दौरान राजस्थान में तापमान बहुत अधिक होता है, जो अक्सर ५० डिग्री सेल्सियस तक पहुंच जाता है।	समर के दौरान राजस्थान में टेम्परेचर बहुत अधिक होता है, जो अक्सर ५० डिग्री सेल्सियस तक पहुंच जाता है।
मेरी मातृभाषा गुजराती है | 	मेरी मधर टंग गुजराती है |
मैं वर्तमान में मासाचुसेट्स एमहर्स्ट विश्वविद्यालय में प्राकृतिक भाषा प्रसंस्करण का अध्ययन कर रहा हूँ।	मैं वर्तमान में यूनिवर्सिटी ऑफ़ मासाचुसेट्स एमहर्स्ट में नेचुरल लैंग्वेज प्रोसेसिंग का अध्ययन कर रहा हूँ।
पिटा पॉकेट्स अमहर्स्ट में मेरा सबसे पसंदीदा भोजनालय है, और हर किसी  को वहा फलाफल खाना चाहिए ।	पिटा पॉकेट्स अमहर्स्ट में मेरा फेवरीट रेस्टॉरंट है, और हर किसी को वहा फलाफल खाना चाहिए ।
मुझे सर्दी के मौसम से नफरत है क्योंकि तब बर्फबारी होती है।	मुझे विंटर सीजन से नफरत है क्योंकि तब स्नोफॉल होता है।
आज मेरा मन अच्छा नहीं है क्योंकि मेरी परीक्षा बहुत कठिन थी।	आज मेरा मूड अच्छा नहीं है क्योंकि मेरी एक्साम बहुत कठिन थी।
मेरी पसंदीदा मिठाई गुलाब जामुन है।	मेरी पसंदीदा स्वीट गुलाब जामुन है।
मुझे आशा है कि आपकी यात्रा आरामदायक रही हो।	मुझे आशा है कि आपकी यात्रा कम्फर्टेबले रही हो।
तुम्हारी पसंद एकदम अच्छी है | 	तुम्हारी चॉइस एकदम अच्छी है |
मैं उनको अपना गुरु मानता हूँ | 	मैं उनको अपना मेंटर मानता हूँ |
आज मेरे पास समय है इस लिए मैं पुस्तक पढ़ने का सोच राहु हूँ | 	आज मेरे पास टाइम है इस लिए मैं बुक पढ़ने का सोच राहु हूँ | 
विद्यालय में भौतिक विज्ञान मेरा पसंदीदा विषय था | 	स्कूल में फिजिक्स मेरा पसंदीदा विषय था | 
मैं अपने माता-पिता के साथ एक अवकाश पर बाहर गया था।	मैं अपने पेरेंट्स के साथ एक वेकेशन पर बाहर गया था।
