Informal + Pure	Formal + Pure	Informal + impure	Formal + Impure
অনেকে ব্যাংকিং, ক্রয়, সামাজিক যোগাযোগ মাধ্যম এবং ই-মেইলের জন্য একই পাসওয়ার্ড ব্যবহার করিয়া থাকেন।  	অনেকে ব্যাংকিং, ক্রয়, সামাজিক যোগাযোগ মাধ্যম এবং ই-মেইলের জন্য একই পাসওয়ার্ড ব্যবহার করিয়া থাকেন।  	অনেকে ব্যাংকিং, কেনাকাটা, সামাজিক যোগাযোগমাধ্যম এবং ই-মেইলের জন্য একই পাসওয়ার্ড ব্যবহার করেন।	অনেকে ব্যাংকিং, কেনাকাটা, সামাজিক যোগাযোগমাধ্যম এবং ই-মেইলের জন্য একই পাসওয়ার্ড ব্যবহার করেন।
অ্যাপল কখনো ব্লু-রে ড্রাইভ বা প্লেব্যাক ফরম্যাট করিবার প্রস্তাব দেয়নি।	অ্যাপল কখনো ব্লু-রে ড্রাইভ বা প্লেব্যাক ফরম্যাট করিবার প্রস্তাব দেয়নি।	অ্যাপল কখনো ব্লু-রে ড্রাইভ বা প্লেব্যাক ফরম্যাটের প্রস্তাব দেয়নি।	অ্যাপল কখনো ব্লু-রে ড্রাইভ বা প্লেব্যাক ফরম্যাটের প্রস্তাব দেয়নি।
তুমি কি ঘণ্টা টাওয়ার শুনিয়াছো? 	আপনি কি ঘণ্টা টাওয়ার শুনিয়াছেন? 	তুমি কি ঘন্টা টাওয়ার শুনেছেন?	আপনি কি ঘন্টা টাওয়ার শুনেছেন?
তুমি যদি মাদকাসক্ত হইয়া থাকো, তাহলে জানিবে যে তুমি একা নও। 	আপনি যদি মাদকাসক্ত হইয়া থাকেন, তাহলে জানিবেন যে আপনি একা নন। 	তুমি যদি মাদকাসক্ত হয়ে থাকো, তাহলে জানো যে তুমি একা নও। 	আপনি যদি মাদকাসক্ত হয়ে থাকেন, তাহলে জানেন যে আপনি একা নন।
আমি ইহাকে স্যাক্সন আর্কিটেকচার বলিয়া থাকি। 	আমি ইহাকে স্যাক্সন আর্কিটেকচার বলিয়া থাকি। 	আমি এটাকে স্যাক্সন আর্কিটেকচার বলি।	আমি এটাকে স্যাক্সন আর্কিটেকচার বলি।
আমি তাহাদের কি বলিবো? 	আমি উহাদের কি বলিবো? 	আমি তাদের কি বলবো?	আমি উনাদের কি বলবো?
আমি ভাবছি তুমি কি এর অর্থ বুঝিতে পারিয়াছো? 	আমি ভাবছি আপনি কি এর অর্থ বুঝিতে পারিয়াছেন? 	আমি ভাবছি তুমি কি এর মানে বুঝতে পারছো?	আমি ভাবছি আপনি কি এর মানে বুঝতে পারছেন? 
আমি মনে মনে খুব পুলকিত হইলাম, রক্তপাতহীনভাবে সবাই আত্মসমর্পন করিয়াছে ভাবিয়া। 	আমি মনে মনে খুব পুলকিত হইলাম, রক্তপাতহীনভাবে সবাই আত্মসমর্পন করিয়াছে ভাবিয়া। 	আমি মনে মনে খুব খুশি হলাম, রক্তপাতহীনভাবে সবাই আত্মসমর্পণ করছে ভেবে।	আমি মনে মনে খুব খুশি হলাম, রক্তপাতহীনভাবে সবাই আত্মসমর্পণ করছে ভেবে।
উদাহরণের তুলনা করিয়া এই পার্থক্য বুঝা যাইতে পারে। 	উদাহরণের তুলনা করিয়া এই পার্থক্য বুঝা যাইতে পারে। 	উদাহরণের তুলনা করে এই পার্থক্য বোঝা যেতে পারে।	উদাহরণের তুলনা করে এই পার্থক্য বোঝা যেতে পারে।
উক্ত অনুষ্ঠানে কয়েক ডজন ব্যক্তি ডেপুটি প্রসিকিউটর হিসেবে শপথ গ্রহণ করিয়াছে।	উক্ত অনুষ্ঠানে কয়েক ডজন ব্যক্তি ডেপুটি প্রসিকিউটর হিসেবে শপথ গ্রহণ করিয়াছেন।	এই অনুষ্ঠানে কয়েক ডজন লোক ডেপুটি প্রসিকিউটর হিসেবে শপথ গ্রহণ করে।	এই অনুষ্ঠানে কয়েক ডজন ব্যক্তি ডেপুটি প্রসিকিউটর হিসেবে শপথ গ্রহণ করেন। 
উক্ত আক্রমণের ফলে আর্নুলফ হাঙ্গেরিতে তার প্রাক্তন শত্রুদের নিকট নির্বাসিত হইয়া পড়ে। 	উক্ত আক্রমণের ফলে আর্নুলফ হাঙ্গেরিতে তার প্রাক্তন শত্রুদের নিকট নির্বাসিত হইয়া পড়েন। 	এই আক্রমণের ফলে আর্নুলফ হাঙ্গেরিতে তার পূর্ব-শত্রুদের কাছে নির্বাসিত হয়। 	এই আক্রমণের ফলে আর্নুলফ হাঙ্গেরিতে তার প্রাক্তন শত্রুদের কাছে নির্বাসিত হন।
উক্ত সুড়ঙ্গগুলির কয়েকটি এখনও দেখিতে পাওয়া যায়। 	উক্ত সুড়ঙ্গগুলির কয়েকটি এখনও দেখিতে পাওয়া যায়। 	এই সুড়ঙ্গগুলির কয়েকটি এখনও দেখা যায়।	এই সুড়ঙ্গগুলির কয়েকটি এখনও দেখা যায়।
একজন মহিলাকে গুলি করিয়া হত্যা করা হইয়াছে। 	একজন মহিলাকে গুলি করিয়া হত্যা করা হইয়াছে। 	একজন মেয়েকে গুলি করে হত্যা করা হয়।	একজন মহিলাকে গুলি করে হত্যা করা হয়।
এখান থেকে স্নাতকরা মাছ ধরার জাহাজের নাবিক হইয়া উঠিবে। 	এখান থেকে স্নাতকরা মাছ ধরার জাহাজের নাবিক হইয়া উঠিবেন। 	এখান থেকে গ্র্যাজুয়েটরা মাছ ধরার জাহাজের মাস্টার হবে।	এখান থেকে গ্র্যাজুয়েটরা মাছ ধরার জাহাজের মাস্টার হবে।
এছাড়া সে টেনেসি উইলিয়ামসের "বেবি ডল" মঞ্চনাটকের অফ-ব্রডওয়ে প্রিমিয়ারে অভিনয় করিয়াছিল। 	এছাড়া তিনি টেনেসি উইলিয়ামসের "বেবি ডল" মঞ্চনাটকের অফ-ব্রডওয়ে প্রিমিয়ারে অভিনয় করিয়াছিলেন। 	এছাড়া সে টেনেসি উইলিয়ামসের "বেবি ডল" মঞ্চনাটকের অফ-ব্রডওয়ে প্রিমিয়ারে অভিনয় করে।	এছাড়া তিনি টেনেসি উইলিয়ামসের "বেবি ডল" মঞ্চনাটকের অফ-ব্রডওয়ে প্রিমিয়ারে অভিনয় করেন।
এছাড়া, তাহারা নিয়মিতভাবে বাকমিন্সটার ফুলার ও তার স্ত্রীর সঙ্গে দীর্ঘ নাস্তা করিয়া থাকিত। 	এছাড়া, উহারা নিয়মিতভাবে বাকমিন্সটার ফুলার ও তার স্ত্রীর সঙ্গে দীর্ঘ নাস্তা করিয়া থাকিতেন। 	এছাড়া, তারা নিয়মিতভাবে বাকমিনস্টার ফুলার ও তার স্ত্রীর সঙ্গে দীর্ঘ ব্রেকফাস্ট করত।	এছাড়া, উনারা নিয়মিতভাবে বাকমিনস্টার ফুলার ও তার স্ত্রীর সঙ্গে দীর্ঘ ব্রেকফাস্ট করতেন।
ইহারা সাধারণ, সুনিষ্কাশিত মাটি পছন্দ করিয়া থাকে, কিন্তু মরুভূমির পাথুরে মাটিতেও সমানভাবে জন্মাইয়া থাকে। 	ইহারা সাধারণ, সুনিষ্কাশিত মাটি পছন্দ করিয়া থাকে, কিন্তু মরুভূমির পাথুরে মাটিতেও সমানভাবে জন্মাইয়া থাকে। 	এরা সাধারণ, সুনিষ্কাশিত মাটি পছন্দ করে, কিন্তু মরুভূমির পাথুরে মাটিতেও সমানভাবে জন্মায়।	এরা সাধারণ, সুনিষ্কাশিত মাটি পছন্দ করে, কিন্তু মরুভূমির পাথুরে মাটিতেও সমানভাবে জন্মায়।
ওভারহল একটি নতুন ফ্লাইট ডেক, স্টিয়ারিং সিস্টেম এবং সেতু স্থাপন অন্তর্ভুক্ত।	ওভারহল একটি নতুন ফ্লাইট ডেক, স্টিয়ারিং সিস্টেম এবং সেতু স্থাপন অন্তর্ভুক্ত।	ওভারহল একটি নতুন ফ্লাইট ডেক, স্টিয়ারিং সিস্টেম এবং সেতু স্থাপন অন্তর্ভুক্ত।	ওভারহল একটি নতুন ফ্লাইট ডেক, স্টিয়ারিং সিস্টেম এবং সেতু স্থাপন অন্তর্ভুক্ত।
ওয়াচ স্টেশনটি একটি কাঠের ভবনে অবস্থিত।	ওয়াচ স্টেশনটি একটি কাঠের ভবনে অবস্থিত।	ওয়াচ স্টেশনটি একটি কাঠের ভবনে অবস্থিত।	ওয়াচ স্টেশনটি একটি কাঠের ভবনে অবস্থিত।
কার্ড এবং চিঠিগুলি এখনও কোনো ডাকটিকিট ছাড়াই ব্যারেলে রাখা হইয়া থাকে।	কার্ড এবং চিঠিগুলি এখনও কোনো ডাকটিকিট ছাড়াই ব্যারেলে রাখা হইয়া থাকে।	কার্ড এবং চিঠিগুলি এখনও কোনো ডাকটিকিট ছাড়াই ব্যারেলে রাখা হয়।	কার্ড এবং চিঠিগুলি এখনও কোনো ডাকটিকিট ছাড়াই ব্যারেলে রাখা হয়।
কিছু মৌলিক গানের সুরও সে রচনা করিয়াছে।	কিছু মৌলিক গানের সুরও তিনি রচনা করিয়াছেন।	কিছু মৌলিক গানের সুরও সে রচনা করে।	কিছু মৌলিক গানের সুরও তিনি রচনা করেন।
কিছু সংখ্যক কর্মচারী যুদ্ধের কাজে যোগ দেওয়ার জন্য সাময়িকভাবে চলিয়া যায়। 	কিছু সংখ্যক কর্মচারী যুদ্ধের কাজে যোগ দেওয়ার জন্য সাময়িকভাবে চলিয়া যান। 	কিছু সংখ্যক কর্মচারী যুদ্ধের কাজে যোগ দেওয়ার জন্য সাময়িকভাবে চলে যায়।	কিছু সংখ্যক কর্মচারী যুদ্ধের কাজে যোগ দেওয়ার জন্য সাময়িকভাবে চলে যান। 
কিন্তু, তার দুর্বল কৃষকরা অভিজাতদের ভারী অশ্বারোহীদের কাছে পরাজিত হইয়াছিল। 	কিন্তু, তার দুর্বল কৃষকরা অভিজাতদের ভারী অশ্বারোহীদের কাছে পরাজিত হইয়াছিলেন। 	কিন্তু, তার দুর্বল চাষীরা বড়লোকদের ভারী অশ্বারোহীদের কাছে পরাজিত হয়েছিল।	কিন্তু, তার দুর্বল কৃষকরা অভিজাতদের ভারী অশ্বারোহীদের কাছে পরাজিত হয়েছিলেন। 
কে বলিয়াছে এখন ভর্তি পরীক্ষার আবেদন করিতে হবে অনলাইনে?	কে বলিয়াছেন এখন ভর্তি পরীক্ষার আবেদন করিতে হবে অনলাইনে?	কে বলছে এখন ভর্তি পরীক্ষার আবেদন করতে হবে অনলাইনে?	কে বলছেন এখন ভর্তি পরীক্ষার আবেদন করতে হবে অনলাইনে?
গিলিস মরিয়া হইয়া চায় যেন অন্যেরা কথা বলা বন্ধ করিয়া দেয়।	গিলিস মরিয়া হইয়া চান যেন অন্যেরা কথা বলা বন্ধ করিয়া দেন।	গিলিস মরিয়া হয়ে চায় যেন অন্যেরা কথা বলা বন্ধ করে দেয়।	গিলিস মরিয়া হয়ে চান যেন অন্যেরা কথা বলা বন্ধ করে দেন।
